tuning_group,train_MSE,test_MSE,train_RMSE,test_RMSE,train_MAE,test_MAE,train_MAPE,test_MAPE,train_R2,test_R2,sec_conv,perform_validation,num_train_samples,input_1,input_2,#_epochs,#filters_conv1,filter_size_conv1,act_func_conv1,#filters_conv2,filter_size_conv2,act_func_conv2
1,125.79107666015624,249.19368857274247,11.215662002563477,15.785869902312715,8.546927452087402,11.993212860822675,15178044.0,151.80671171801913,0.9285011291503906,0.8556963205337524,False,True,17731,30,14,20,128,5,sigmoid,64,5,relu
1,115.90132904052734,242.44928566957373,10.765748023986816,15.57078307823899,8.1981201171875,12.408851687908172,14960459.0,146.56657308107856,0.9336662292480468,0.8596018552780151,False,False,17731,30,14,20,128,5,sigmoid,64,5,relu
1,45.01034927368164,292.45578218911805,6.708975315093994,17.10133860810662,5.177696228027344,13.81430472612381,20450036.0,149.25184933414775,0.9744163155555724,0.8306439518928528,False,True,17731,30,14,20,128,5,tanh,64,5,relu
1,28.43824005126953,269.36066338734673,5.332751750946045,16.412210801331632,4.152045726776123,12.869951235055924,21109330.0,145.72411347223974,0.9837238788604736,0.8440179228782654,False,False,17731,30,14,20,128,5,tanh,64,5,relu
1,42.387577056884766,317.45721414877045,6.5105743408203125,17.81732904081783,5.11022424697876,13.552264490127564,27184092.0,149.39518479646003,0.9759071469306946,0.8161660432815552,False,True,17731,30,14,50,32,5,relu,64,5,relu
1,41.60787582397461,262.84187922327925,6.450416564941406,16.212398934867082,4.944199085235596,12.541350393295287,19150552.0,151.66255916956004,0.976186454296112,0.8477928638458252,False,False,17731,30,14,50,32,5,relu,64,5,relu
1,67.18955993652344,256.4001284820139,8.196924209594727,16.01249913292781,6.263083457946777,12.27929385662079,19439612.0,153.40560125787394,0.9618097543716432,0.8515231609344482,False,True,17731,30,14,50,32,5,sigmoid,64,5,relu
1,53.90537643432617,245.21568957471973,7.342028141021728,15.659364277476904,5.5913190841674805,12.77376991033554,20565576.0,149.05533734234888,0.9691482186317444,0.857999861240387,False,False,17731,30,14,50,32,5,sigmoid,64,5,relu
1,25.49871826171875,306.24802166481624,5.049625396728516,17.499943476046322,3.8837149143218994,13.737656655311584,15359600.0,154.5926709322952,0.9855066537857056,0.8226571083068848,False,True,17731,30,14,50,32,5,tanh,64,5,relu
1,18.991079330444336,300.7736460773621,4.357875347137451,17.34282693442341,3.3726727962493896,14.214060206264255,14411932.0,146.50242023202136,0.9891307950019836,0.8258272409439087,False,False,17731,30,14,50,32,5,tanh,64,5,relu
1,36.266902923583984,328.1856697262285,6.022201061248779,18.115895498876903,4.692939281463623,13.948135481476784,32131532.0,154.3029288670458,0.9793861508369446,0.8099533915519714,False,True,17731,30,14,50,64,5,relu,64,5,relu
1,34.35089874267578,353.97879829858607,5.860963821411133,18.81432428493211,4.544134616851807,14.670808347463607,36300576.0,153.72396536614178,0.9803398847579956,0.7950170636177063,False,False,17731,30,14,50,64,5,relu,64,5,relu
1,54.82833099365234,284.5766496358792,7.40461540222168,16.869399800700652,5.669285774230957,12.79243084728718,22429408.0,154.94526529861778,0.9688358306884766,0.8352066278457642,False,True,17731,30,14,50,64,5,sigmoid,64,5,relu
1,36.47289276123047,284.901075816574,6.039278984069824,16.879012880395997,4.675678730010986,13.452033404111862,20199522.0,147.88353133128436,0.9791253805160522,0.8350187540054321,False,False,17731,30,14,50,64,5,sigmoid,64,5,relu
1,14.708205223083496,353.42476998592434,3.835127830505371,18.79959494207054,2.962987184524536,14.620476264953613,16618738.0,147.42908166014155,0.9916399121284484,0.7953379154205322,False,True,17731,30,14,50,64,5,tanh,64,5,relu
1,12.791742324829102,261.9332435377001,3.576554536819458,16.18435181086039,2.800777196884156,12.705284967422486,15494160.0,148.03919900188706,0.9926788806915284,0.8483190536499023,False,False,17731,30,14,50,64,5,tanh,64,5,relu
1,12.083758354187012,309.6171415490554,3.476170063018799,17.595941053238825,2.6593551635742188,13.545487318187952,11665923.0,148.3460761386423,0.9931316375732422,0.8207061290740967,False,True,17731,30,14,50,128,5,relu,64,5,relu
1,12.507302284240724,320.0080558147957,3.5365664958953857,17.88876898544994,2.6256377696990967,14.080694522857666,10839787.0,147.70726946492866,0.99284166097641,0.8146889209747314,False,False,17731,30,14,50,128,5,relu,64,5,relu
1,43.35536193847656,265.38597673558814,6.584478855133057,16.290671463619546,5.010124206542969,12.751479553580284,21164712.0,150.36145129400484,0.9753570556640624,0.8463196158409119,False,True,17731,30,14,50,128,5,sigmoid,64,5,relu
1,29.60550117492676,276.2237620014555,5.441093921661377,16.619980806290226,4.243593692779541,12.758466531038284,17802110.0,152.25277625607615,0.983055830001831,0.8400436043739319,False,False,17731,30,14,50,128,5,sigmoid,64,5,relu
1,7.377913951873779,315.39665835435966,2.71623158454895,17.75941041685674,2.13095760345459,13.644562249183656,14279959.0,145.86018059342138,0.9958064556121826,0.8173593282699585,False,True,17731,30,14,50,128,5,tanh,64,5,relu
1,7.960008144378662,320.6854571168252,2.8213486671447754,17.907692679874344,2.174113512039185,14.155719411447643,14472970.0,155.81324445626382,0.9954442381858826,0.8142966628074646,False,False,17731,30,14,50,128,5,tanh,64,5,relu
2,215.73939514160156,231.43230044919838,14.688070297241211,15.212899146750377,11.16882610321045,11.616292152404785,22752738.0,147.4255659352967,0.8765254020690918,0.8659815788269043,True,False,17731,30,14,4,32,2,sigmoid,16,5,relu
2,235.2091522216797,252.95643112663612,15.336529731750488,15.90460408581855,12.013849258422852,12.05919975221157,54276688.0,146.8598519396833,0.8653823137283325,0.8535173535346985,False,False,17731,30,14,4,32,2,sigmoid,16,5,relu
2,205.39877319335938,224.55684700344224,14.331740379333496,14.98522095277351,10.873979568481445,11.501238737106323,21958748.0,142.64658083463476,0.8824438452720642,0.8699630498886108,True,False,17731,30,14,4,32,3,sigmoid,16,5,relu
2,263.349365234375,277.1286033368206,16.228042602539062,16.647180041581237,12.521007537841797,12.384925651550294,37953688.0,137.71608058509966,0.8492769598960876,0.8395196795463562,False,False,17731,30,14,4,32,3,sigmoid,16,5,relu
2,216.35040283203125,251.7688531971297,14.708854675292969,15.867225756165748,11.333128929138184,11.94840303659439,29213270.0,148.01861331652327,0.8761752843856812,0.8542050123214722,True,False,17731,30,14,4,32,8,sigmoid,16,5,relu
2,256.1646423339844,296.8451150751192,16.005144119262695,17.229193686157203,12.353379249572754,12.7877410030365,32840514.0,154.96173307880437,0.8533889055252075,0.828102171421051,False,False,17731,30,14,4,32,8,sigmoid,16,5,relu
2,231.51309204101562,235.25794947812693,15.215554237365723,15.33812079356943,11.606260299682617,11.947413218915463,26823840.0,144.24906770787405,0.8674977421760559,0.8637661933898926,True,False,17731,30,14,4,48,2,sigmoid,16,5,relu
